media,terpene,terpene_pct,spindle,speed,temperature,viscosity,original_filename,Unnamed: 8
D8,Lemon,0.0,CPA-52Z,1,29.33333333,278066.6667,D8+LemonHaze-1mcp-3-15-23.xlsx,
D8,Lemon,0.0,CPA-52Z,15,39.1,28136.66667,D8+LemonHaze-1mcp-3-15-23.xlsx,
D8,Lemon,0.0,CPA-52Z,50,48.73333333,17434.33333,D8+LemonHaze-1mcp-3-15-23.xlsx,
D8,Lemon,0.0,CPA-40Z,100,58.2,103.2566667,D8+LemonHaze-1mcp-3-15-23.xlsx,
D8,Lemon,0.0,CPA-40Z,100,69.53333333,31.30333333,D8+LemonHaze-1mcp-3-15-23.xlsx,
D8,Lemon,0.0,CPA-52Z,0.2,24.96666667,2033000.0,D8+LemonHaze-2mcp-3-15-23.xlsx,
D8,Lemon,0.0,CPA-52Z,1,29.46666667,602733.3333,D8+LemonHaze-2mcp-3-15-23.xlsx,
D8,Lemon,0.0,CPA-52Z,5,39.33333333,51543.33333,D8+LemonHaze-2mcp-3-15-23.xlsx,
D8,Lemon,0.0,CPA-52Z,25,49.4,6413.666667,D8+LemonHaze-2mcp-3-15-23.xlsx,
D8,Lemon,0.0,CPA-52Z,75,58.56666667,1203.333333,D8+LemonHaze-2mcp-3-15-23.xlsx,
D8,Lemon,0.0,CPA-52Z,15,68.73333333,22.67333333,D8+LemonHaze-2mcp-3-15-23.xlsx,
D8,Lemon,0.0,CPA-52Z,2,25.2,303766.6667,D8+LemonHaze-300kcp-3-15-23.xlsx,
D8,Lemon,0.0,CPA-52Z,2,29.3,144466.6667,D8+LemonHaze-300kcp-3-15-23.xlsx,
D8,Lemon,0.0,CPA-52Z,25,39.1,17113.33333,D8+LemonHaze-300kcp-3-15-23.xlsx,
D8,Lemon,0.0,CPA-52Z,50,49.03333333,2894.666667,D8+LemonHaze-300kcp-3-15-23.xlsx,
D8,Lemon,0.0,CPA-40Z,50,63.06666667,118.7666667,D8+LemonHaze-300kcp-3-15-23.xlsx,
D8,Lemon,0.0,CPA-40Z,50,68.06666667,67.84,D8+LemonHaze-300kcp-3-15-23.xlsx,
D8,Lemon,0.0,CPA-40Z,1,24.5,606166.6667,D8+LemonHaze-606viscosity.xlsx,
D8,Lemon,0.0,CPA-40Z,1,29.66666667,168533.3333,D8+LemonHaze-606viscosity.xlsx,
D8,Lemon,0.0,CPA-40Z,10,39.73333333,19023.33333,D8+LemonHaze-606viscosity.xlsx,
D8,Lemon,0.0,CPA-40Z,50,49.6,3286.0,D8+LemonHaze-606viscosity.xlsx,
D8,Lemon,0.0,CPA-52Z,15,59.53333333,260.4666667,D8+LemonHaze-606viscosity.xlsx,
D8,Lemon,0.0,CPA-52Z,50,69.4,82.31666667,D8+LemonHaze-606viscosity.xlsx,
D8,Lemon,0.0,CPA-40Z,0.28,25.8,1281333.333,D8+LemonHaze-viscosity 1.3MCP.xlsx,
D8,Lemon,0.0,CPA-40Z,1,29.66666667,497433.3333,D8+LemonHaze-viscosity 1.3MCP.xlsx,
D8,Lemon,0.0,CPA-40Z,15,39.46666667,45966.66667,D8+LemonHaze-viscosity 1.3MCP.xlsx,
D8,Lemon,0.0,CPA-40Z,15,49.36666667,6632.666667,D8+LemonHaze-viscosity 1.3MCP.xlsx,
D8,Lemon,0.0,CPA-40Z,75,59.4,1125.333333,D8+LemonHaze-viscosity 1.3MCP.xlsx,
D8,Lemon,0.0,CPA-52Z,50,69.23333333,59.46666667,D8+LemonHaze-viscosity 1.3MCP.xlsx,
D8,Watermelon,0.0,CPA-52Z,0.8,24.7,728700.0,D8+watermelon-11.13.23-728kcp.xlsx,
D8,Watermelon,0.0,CPA-52Z,1,30.23333333,208800.0,D8+watermelon-11.13.23-728kcp.xlsx,
D8,Watermelon,0.0,CPA-52Z,5,40.13333333,24290.0,D8+watermelon-11.13.23-728kcp.xlsx,
D8,Watermelon,0.0,CPA-52Z,150,49.96666667,1063.333333,D8+watermelon-11.13.23-728kcp.xlsx,
D8,Watermelon,0.0,CPA-40Z,50,59.46666667,354.7333333,D8+watermelon-11.13.23-728kcp.xlsx,
D8,Watermelon,0.0,CPA-40Z,100,67.73333333,74.99,D8+watermelon-11.13.23-728kcp.xlsx,
D8,Watermelon,0.0,CPA-52Z,0.8,25.23333333,723333.3333,D8+Watermelon-9.23-723kcp.xlsx,
D8,Watermelon,0.0,CPA-52Z,1,30.33333333,215900.0,D8+Watermelon-9.23-723kcp.xlsx,
D8,Watermelon,0.0,CPA-52Z,5,40.06666667,25610.0,D8+Watermelon-9.23-723kcp.xlsx,
D8,Watermelon,0.0,CPA-52Z,25,50.1,4868.333333,D8+Watermelon-9.23-723kcp.xlsx,
D8,Watermelon,0.0,CPA-40Z,50,59.66666667,331.5333333,D8+Watermelon-9.23-723kcp.xlsx,
D8,Watermelon,0.0,CPA-40Z,50,69.4,118.9666667,D8+Watermelon-9.23-723kcp.xlsx,
D8,Watermelon,0.0,CPA-52Z,1,24.66666667,247666.6667,D8+WatermelonSplash-248kcpviscosity-2.27.23.xlsx,
D8,Watermelon,0.0,CPA-52Z,5,29.8,65563.33333,D8+WatermelonSplash-248kcpviscosity-2.27.23.xlsx,
D8,Watermelon,0.0,CPA-52Z,20,39.6,6641.0,D8+WatermelonSplash-248kcpviscosity-2.27.23.xlsx,
D8,Watermelon,0.0,CPA-40Z,5,48.53333333,2828.333333,D8+WatermelonSplash-248kcpviscosity-2.27.23.xlsx,
D8,Watermelon,0.0,CPA-40Z,10,59.5,333.9333333,D8+WatermelonSplash-248kcpviscosity-2.27.23.xlsx,
D8,Watermelon,0.0,CPA-40Z,50,69.36666667,85.8,D8+WatermelonSplash-248kcpviscosity-2.27.23.xlsx,
D8,Unknown,0.0,CPA-52Z,2,24.96666667,190300.0,D8+WTRMLNSKTTLS+MWterps-200kcp.xlsx,
D8,Unknown,0.0,CPA-52Z,5,30.26666667,64663.33333,D8+WTRMLNSKTTLS+MWterps-200kcp.xlsx,
D8,Unknown,0.0,CPA-52Z,15,39.9,10386.66667,D8+WTRMLNSKTTLS+MWterps-200kcp.xlsx,
D8,Unknown,0.0,CPA-52Z,50,49.7,2418.333333,D8+WTRMLNSKTTLS+MWterps-200kcp.xlsx,
D8,Unknown,0.0,CPA-52Z,150,59.9,666.8,D8+WTRMLNSKTTLS+MWterps-200kcp.xlsx,
D8,Unknown,0.0,CPA-52Z,150,64.83333333,414.5333333,D8+WTRMLNSKTTLS+MWterps-200kcp.xlsx,
D8,Watermelon,0.0,CPA-40Z,0.05,25.46666667,247666.6667,D8- 3.28.2023 OG Watermelon.xlsx,
D8,Watermelon,0.0,CPA-40Z,0.1,32.0,57030.0,D8- 3.28.2023 OG Watermelon.xlsx,
D8,Watermelon,0.0,CPA-40Z,0.8,40.6,9286.333333,D8- 3.28.2023 OG Watermelon.xlsx,
D8,Watermelon,0.0,CPA-40Z,4,49.6,1879.333333,D8- 3.28.2023 OG Watermelon.xlsx,
D8,Watermelon,0.0,CPA-40Z,10,60.8,378.4666667,D8- 3.28.2023 OG Watermelon.xlsx,
D8,Watermelon,0.0,CPA-40Z,50,73.9,88.94333333,D8- 3.28.2023 OG Watermelon.xlsx,
D8,Guava,0.0,CPA-40Z,0.5,24.86666667,43566.66667,D8- Guava- Cream.xlsx,
D8,Guava,0.0,CPA-40Z,0.5,29.63333333,30083.33333,D8- Guava- Cream.xlsx,
D8,Guava,0.0,CPA-40Z,1,39.56666667,7917.666667,D8- Guava- Cream.xlsx,
D8,Guava,0.0,CPA-40Z,2,49.46666667,3111.0,D8- Guava- Cream.xlsx,
D8,Guava,0.0,CPA-40Z,40,59.1,293.7,D8- Guava- Cream.xlsx,
D8,Guava,0.0,CPA-40Z,100,69.23333333,174.4333333,D8- Guava- Cream.xlsx,
D9,Unknown,0.0,CPA-52Z,5,25.4,92816.66667,D9 JH+ TigersBlood-100kcp.xlsx,
D9,Unknown,0.0,CPA-52Z,15,30.33333333,35966.66667,D9 JH+ TigersBlood-100kcp.xlsx,
D9,Unknown,0.0,CPA-52Z,50,40.16666667,5873.666667,D9 JH+ TigersBlood-100kcp.xlsx,
D9,Unknown,0.0,CPA-52Z,75,49.46666667,1464.0,D9 JH+ TigersBlood-100kcp.xlsx,
D9,Unknown,0.0,CPA-52Z,75,57.5,509.6666667,D9 JH+ TigersBlood-100kcp.xlsx,
D9,Unknown,0.0,CPA-52Z,150,62.6,209.5666667,D9 JH+ TigersBlood-100kcp.xlsx,
D9,Tigers Blood,0.0,CPA-52Z,1,25.36666667,630233.3333,D9+Tigers Blood 630233cP.xlsx,
D9,Tigers Blood,0.0,CPA-52Z,2,30.4,167333.3333,D9+Tigers Blood 630233cP.xlsx,
D9,Tigers Blood,0.0,CPA-52Z,10,40.3,16750.0,D9+Tigers Blood 630233cP.xlsx,
D9,Tigers Blood,0.0,CPA-52Z,50,50.03333333,2344.333333,D9+Tigers Blood 630233cP.xlsx,
D9,Tigers Blood,0.0,CPA-52Z,150,59.66666667,358.0666667,D9+Tigers Blood 630233cP.xlsx,
D9,Tigers Blood,0.0,CPA-52Z,150,63.66666667,215.2,D9+Tigers Blood 630233cP.xlsx,
D9,Unknown,0.0,CPA-52Z,1,25.36666667,504333.3333,D9+TigersBlood 7-24-24 500kcp.xlsx,
D9,Unknown,0.0,CPA-52Z,5,30.4,134033.3333,D9+TigersBlood 7-24-24 500kcp.xlsx,
D9,Unknown,0.0,CPA-52Z,10,40.23333333,16663.33333,D9+TigersBlood 7-24-24 500kcp.xlsx,
D9,Unknown,0.0,CPA-52Z,50,50.1,2789.0,D9+TigersBlood 7-24-24 500kcp.xlsx,
