media,terpene,terpene_pct,spindle,speed,temperature,viscosity,original_filename
D8,Watermelon,0.0,CPA-40Z,100.0,67.73333333333333,74.99,D8+watermelon-11.13.23-728kcp.xlsx
D8,Watermelon,0.0,CPA-52Z,0.8,25.23333333333333,723333.3333333334,D8+Watermelon-9.23-723kcp.xlsx
D8,Watermelon,0.0,CPA-52Z,1.0,30.33333333333333,215900.0,D8+Watermelon-9.23-723kcp.xlsx
D8,Watermelon,0.0,CPA-52Z,5.0,40.06666666666666,25610.0,D8+Watermelon-9.23-723kcp.xlsx
D8,Watermelon,0.0,CPA-52Z,25.0,50.1,4868.333333333333,D8+Watermelon-9.23-723kcp.xlsx
D8,Watermelon,0.0,CPA-40Z,50.0,59.66666666666666,331.5333333333333,D8+Watermelon-9.23-723kcp.xlsx
D8,Watermelon,0.0,CPA-40Z,50.0,69.4,118.96666666666664,D8+Watermelon-9.23-723kcp.xlsx
D8,Watermelon,0.0,CPA-52Z,1,24.666666666666668,247666.66666666663,D8+WatermelonSplash-248kcpviscosity-2.27.23.xlsx
D8,Watermelon,0.0,CPA-52Z,5,29.8,65563.33333333333,D8+WatermelonSplash-248kcpviscosity-2.27.23.xlsx
D8,Watermelon,0.0,CPA-52Z,20,39.6,6641.0,D8+WatermelonSplash-248kcpviscosity-2.27.23.xlsx
D8,Watermelon,0.0,CPA-40Z,5,48.53333333333334,2828.333333333333,D8+WatermelonSplash-248kcpviscosity-2.27.23.xlsx
D8,Watermelon,0.0,CPA-40Z,10,59.5,333.93333333333334,D8+WatermelonSplash-248kcpviscosity-2.27.23.xlsx
D8,Watermelon,0.0,CPA-40Z,50,69.36666666666666,85.8,D8+WatermelonSplash-248kcpviscosity-2.27.23.xlsx
D8,Unknown,0.0,CPA-52Z,2,24.96666666666667,190300.0,D8+WTRMLNSKTTLS+MWterps-200kcp.xlsx
D8,Unknown,0.0,CPA-52Z,5,30.266666666666666,64663.333333333336,D8+WTRMLNSKTTLS+MWterps-200kcp.xlsx
D8,Unknown,0.0,CPA-52Z,15,39.9,10386.666666666666,D8+WTRMLNSKTTLS+MWterps-200kcp.xlsx
D8,Unknown,0.0,CPA-52Z,50,49.7,2418.333333333333,D8+WTRMLNSKTTLS+MWterps-200kcp.xlsx
D8,Unknown,0.0,CPA-52Z,150,59.9,666.8000000000001,D8+WTRMLNSKTTLS+MWterps-200kcp.xlsx
D8,Unknown,0.0,CPA-52Z,150,64.83333333333333,414.5333333333333,D8+WTRMLNSKTTLS+MWterps-200kcp.xlsx
