media,media_brand,terpene,temperature,viscosity,total_potency,terpene_pct,d9_thc,thca,cbd,cbda,d8_thc,cbg,alpha-Pinene,Camphene,beta-Pinene,beta-Myrcene,3-Carene,alpha-Terpinene,p-Cymene,D-Limonene,Ocimene 1,Ocimene 2,gamma-Terpinene,Terpinolene,Linalool,Isopulegol,Geraniol,Caryophyllene,alpha-Humulene,Nerolidol 1,Nerolidol 2,Guaiol,alpha-Bisabolol,timestamp,original_filename
d9,mpx,D9 Distillate,23.8,462366.6666666667,0.850053821,0.042236208,0.800217438,0.0,0.0,0.0,0.0,0.035724435,0.003539731,0.001389746,0.003539731,0.001864302,0.0,0.000169415,0.000348055,0.023834862439101,0.000675163,0.000432627,0.000169415,0.00049978,0.002599576,0.000134979,0.0,0.00173023,0.000513311,0.000117824,0.000100737,0.000113084,0.00061516,2025-04-01T10:47:05.141747,Media Database V3 2023
d9,mpx,D9 Distillate,29.9,94986.66666666669,0.850053821,0.042236208,0.800217438,0.0,0.0,0.0,0.0,0.035724435,0.003539731,0.001389746,0.003539731,0.001864302,0.0,0.000169415,0.000348055,0.023834862439101,0.000675163,0.000432627,0.000169415,0.00049978,0.002599576,0.000134979,0.0,0.00173023,0.000513311,0.000117824,0.000100737,0.000113084,0.00061516,2025-04-01T10:47:05.141747,Media Database V3 2023
d9,mpx,D9 Distillate,39.6,14043.333333333334,0.850053821,0.042236208,0.800217438,0.0,0.0,0.0,0.0,0.035724435,0.003539731,0.001389746,0.003539731,0.001864302,0.0,0.000169415,0.000348055,0.023834862439101,0.000675163,0.000432627,0.000169415,0.00049978,0.002599576,0.000134979,0.0,0.00173023,0.000513311,0.000117824,0.000100737,0.000113084,0.00061516,2025-04-01T10:47:05.141747,Media Database V3 2023
d9,mpx,D9 Distillate,49.5,2645.6666666666665,0.850053821,0.042236208,0.800217438,0.0,0.0,0.0,0.0,0.035724435,0.003539731,0.001389746,0.003539731,0.001864302,0.0,0.000169415,0.000348055,0.023834862439101,0.000675163,0.000432627,0.000169415,0.00049978,0.002599576,0.000134979,0.0,0.00173023,0.000513311,0.000117824,0.000100737,0.000113084,0.00061516,2025-04-01T10:47:05.141747,Media Database V3 2023
d9,mpx,D9 Distillate,59.3,551.0666666666666,0.850053821,0.042236208,0.800217438,0.0,0.0,0.0,0.0,0.035724435,0.003539731,0.001389746,0.003539731,0.001864302,0.0,0.000169415,0.000348055,0.023834862439101,0.000675163,0.000432627,0.000169415,0.00049978,0.002599576,0.000134979,0.0,0.00173023,0.000513311,0.000117824,0.000100737,0.000113084,0.00061516,2025-04-01T10:47:05.141747,Media Database V3 2023
d9,mpx,D9 Distillate,69.1,165.1,0.850053821,0.042236208,0.800217438,0.0,0.0,0.0,0.0,0.035724435,0.003539731,0.001389746,0.003539731,0.001864302,0.0,0.000169415,0.000348055,0.023834862439101,0.000675163,0.000432627,0.000169415,0.00049978,0.002599576,0.000134979,0.0,0.00173023,0.000513311,0.000117824,0.000100737,0.000113084,0.00061516,2025-04-01T10:47:05.141747,Media Database V3 2023
d9,vapen,D9 Distillate,23.8,36866.66666666666,0.777552776,0.026674487,0.7375548589341692,0.0,0.0,0.0,0.0,0.0315757575757575,0.000535025,0.00025161,0.000535025,0.000491222,0.0,0.002466905,0.000491336,0.017935907,7.570347003154573e-05,0.000115161,0.002466905,0.001072284,0.000402789,0.0002157,0.0,0.000141235,0.000115279,4.785331230283911e-05,0.000276804,0.000626158,0.000950574,2025-04-01T10:47:05.141747,Media Database V3 2023
d9,vapen,D9 Distillate,29.9,13400.0,0.777552776,0.026674487,0.7375548589341692,0.0,0.0,0.0,0.0,0.0315757575757575,0.000535025,0.00025161,0.000535025,0.000491222,0.0,0.002466905,0.000491336,0.017935907,7.570347003154573e-05,0.000115161,0.002466905,0.001072284,0.000402789,0.0002157,0.0,0.000141235,0.000115279,4.785331230283911e-05,0.000276804,0.000626158,0.000950574,2025-04-01T10:47:05.141747,Media Database V3 2023
d9,vapen,D9 Distillate,39.6,2044.6666666666667,0.777552776,0.026674487,0.7375548589341692,0.0,0.0,0.0,0.0,0.0315757575757575,0.000535025,0.00025161,0.000535025,0.000491222,0.0,0.002466905,0.000491336,0.017935907,7.570347003154573e-05,0.000115161,0.002466905,0.001072284,0.000402789,0.0002157,0.0,0.000141235,0.000115279,4.785331230283911e-05,0.000276804,0.000626158,0.000950574,2025-04-01T10:47:05.141747,Media Database V3 2023
d9,vapen,D9 Distillate,49.5,435.1333333333334,0.777552776,0.026674487,0.7375548589341692,0.0,0.0,0.0,0.0,0.0315757575757575,0.000535025,0.00025161,0.000535025,0.000491222,0.0,0.002466905,0.000491336,0.017935907,7.570347003154573e-05,0.000115161,0.002466905,0.001072284,0.000402789,0.0002157,0.0,0.000141235,0.000115279,4.785331230283911e-05,0.000276804,0.000626158,0.000950574,2025-04-01T10:47:05.141747,Media Database V3 2023
