media,terpene,terpene_pct,temperature,viscosity
KYNN-THCP Blend D8 6-26-23,Unknown,0,1461000,22.666666666666668
KYNN-THCP Blend D8 6-26-23,Unknown,0,132300,50.26666666666667
KYNN-THCP Blend D8 6-26-23,Unknown,0,19210,53.6
KYNN-THCP Blend D8 6-26-23,Unknown,0,3699,25.266666666666666
KYNN-THCP Blend D8 6-26-23,Unknown,0,1386,13.700000000000001
KYNN-watermelon D8 6-26-23,Unknown,0,140800,52.53333333333334
KYNN-watermelon D8 6-26-23,Unknown,0,63400,64.56666666666668
KYNN-watermelon D8 6-26-23,Unknown,0,9803,27.900000000000002
KYNN-watermelon D8 6-26-23,Unknown,0,1905,18.833333333333332
Liquid diamonds- Maui Wowie- 4.18.23,Unknown,0,2437000,33.86666666666667
Liquid diamonds- Maui Wowie- 4.18.23,Unknown,0,879500,56.333333333333336
Liquid diamonds- Maui Wowie- 4.18.23,Unknown,0,79060,50.03333333333333
Liquid diamonds- Maui Wowie- 4.18.23,Unknown,0,10950,27.8
MFUSED+ENERGY 7-18-24,Unknown,0,26990,16.833333333333332
MFUSED+ENERGY 7-18-24,Unknown,0,10880,14.166666666666666
MFUSED+ENERGY 7-18-24,Unknown,0,2350,15.366666666666667
MFUSED+ENERGY 7-18-24,Unknown,0,582.1,11.133333333333333
MFUSED+ENERGY 7-18-24,Unknown,0,176.9,3.9
MFUSED+ENERGY 7-18-24,Unknown,0,113.4,2.6
MPX D9 Viscosity 12-19-2023,Unknown,0,10160000,63.800000000000004
MPX D9 Viscosity 12-19-2023,Unknown,0,1937000,48.93333333333334
MPX D9 Viscosity 12-19-2023,Unknown,0,137700,35.36666666666667
MPX D9 Viscosity 12-19-2023,Unknown,0,12150,61.43333333333334
MPX D9 Viscosity 12-19-2023,Unknown,0,1905,60.26666666666667
MPX D9 with Tiger's Blood 2.5% Terp,Unknown,0,766000,37.599999999999994
MPX D9 with Tiger's Blood 2.5% Terp,Unknown,0,,
