media,media_brand,terpene,total_potency,terpene_pct,temperature,viscosity,d9_thc,thca,cbd,cbda,d8_thc,cbg,timestamp,original_filename
Unknown,Grow Sciences,Gary Payton/Decarb Live Hash Rosin,,,49.5,76.39,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Grow Sciences,Live Rosin,,,25,780566.6667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Grow Sciences,Live Rosin,,,70,591.3,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Grow Sciences,Live Rosin,0.785,,,,0.5334,0.2516,0,0,0,0,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Grow Sciences,Wedding Cake/ Live Rosin,0.810931034,0.051756734,,,0.671054889,0,0.008492706,0,0.007604172,0.020382475,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Hangar 10,Wilson Zero/Decarb Live Rosin,,,23.8,31010,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Hangar 10,Wilson Zero/Decarb Live Rosin,,,29.9,15346.66667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Hangar 10,Wilson Zero/Decarb Live Rosin,,,39.6,2815.333333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Hangar 10,Wilson Zero/Decarb Live Rosin,,,49.5,66.62,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Hangar 10,Wilson Zero/Decarb Live Rosin,,,59.3,8.546666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Hangar 10,Wilson Zero/Decarb Live Rosin,0.854312796,0.04442569,,,0.783376777,0.015770142,0,0,0,0.034881517,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Hangar 10,Wilson Zero/Live Rosin Batter,0.761041172,0.021726727,,,0.155083531,0.560140244,0,0,0,0.007969973,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Jetty,Banana Punch/Live Rosin,0.831556604,,,,0.752531447,0,0.002389937,0,0,0.061493711,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Jetty,Ice Cream Cake/Live Rosin,0.812560241,,,,0.750783133,0,0.001927711,0,0,0.03496988,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,MPX,D9 Distillate,,,23.8,462366.6667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,MPX,D9 Distillate,,,29.9,94986.66667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,MPX,D9 Distillate,,,39.6,14043.33333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,MPX,D9 Distillate,,,49.5,2645.666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,MPX,D9 Distillate,,,59.3,551.0666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
D9,MPX,D9 Distillate,,,69.1,165.1,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
d9,MPX,D9 Distillate,0.850053821,0.042236208,,,0.800217438,0,0,0,0,0.035724435,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,MPX,Dark Night /Live Resin,,,23.8,240500,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,MPX,Dark Night /Live Resin,,,29.9,82870,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,MPX,Dark Night /Live Resin,,,39.6,12986.66667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,MPX,Dark Night /Live Resin,,,49.5,2651,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,MPX,Dark Night /Live Resin,,,59.3,141.2666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,MPX,Dark Night /Live Resin,,,69.1,13.56,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live resin,MPX,Dark Night/Live Resin,0.867809741,0.03616077,,,0.679126426,0.129181383,0,0,0,0.026022006,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,MPX,Live Resin,,,23.8,4005,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,MPX,Live Resin,,,29.9,1967.333333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,MPX,Live Resin,,,39.6,528.8333333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,MPX,Live Resin,,,49.5,164.4666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,MPX,Live Resin,,,59.3,42.64,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Resin,MPX,Live Resin,,,69.1,10.24333333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live resin,MPX,Live Resin,0.810931034,0.121123622,,,0.671054889,0.092793978,0.008492706,0,0.007604172,0.020382475,2025-03-14T11:30:33.252833,Media Database V3 2023
d9,MPX,Mix Strain/ Distillate,0.96096694,,,,0.92241369,0,0.002912345,0,0,0.011054811,2025-03-14T11:30:33.252833,Media Database V3 2023
live resin,MPX,Triangle Lemons/Live Resin,0.83869572,0.059468778,,,0.688460117,0.136811156,0,0,0,0.005715726,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,MPX,Ursula/Live Hash Rosin,0.799788937,,,,0.616201036,0.151120822,0,0,0,0.006897059,2025-03-14T11:30:33.252833,Media Database V3 2023
live resin,Mr Honey,Budders,0.824129213,0.040538322,,,0.07508427,0.749044944,0,0,0,0,2025-03-14T11:30:33.252833,Media Database V3 2023
d8,Name of Oil,Strain,,,,,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,Bdog120A/Decarb Live Rosin,,,25.3,27356.66667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Nasha Hash,Bdog120A/Decarb Live Rosin,0.815687165,0.064116313,,,0.705709883,0,0,0,0,0.048264916,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,Bdog245A/Decarb Live Rosin,,,25.46666667,28260,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,Bdog245A/Decarb Live Rosin,,,30.2,12713.33333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,Bdog245A/Decarb Live Rosin,,,40.53333333,2774.633333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,Bdog245A/Decarb Live Rosin,,,50.13333333,182.6,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Nasha Hash,Bdog245A/Decarb Live Rosin,0.801508298,0.059773559,,,0.682901249,0,0,0,0,0.059437726,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Nasha Hash,Coup detat120A/Devarb Live Rosin,0.832578437,0.060958016,,,0.680379096,0.068000753,0,0,0,0.029121092,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Nasha Hash,Coup detat245A/Devarb Live Rosin,0.859776402,0.052931796,,,0.754526785,0.01653404,0,0,0,0.040394064,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,GMOB 120A/Decarb Live Rosin,,,25.3,39476.66667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Nasha Hash,GMOB 120A/Decarb Live Rosin,0.838132784,0.065494686,,,0.689018484,0.05779212,0,0,0,0.031516361,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,GMOB 245A/Decarb Live Rosin,,,23.8,36156.66667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
