media,media_brand,terpene,terpene_pct,temperature,viscosity,timestamp,original_filename
Live Rosin,Trumed,Live Rosin,,25.46666666666667,56780.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Trumed,Live Rosin,,30.2,22360.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Trumed,Live Rosin,,40.53333333333333,4386.333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Trumed,Live Rosin,,50.13333333333333,1029.3333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Trumed,Live Rosin,,59.4,313.96666666666664,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Vapen,D9 Distillate,,23.8,36866.666666666664,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Vapen,D9 Distillate,,29.9,13400.0,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Vapen,D9 Distillate,,39.6,2044.6666666666667,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Vapen,D9 Distillate,,49.5,435.1333333333334,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Vapen,D9 Distillate,,59.3,132.16666666666669,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Vapen,D9 Distillate,,69.1,41.626666666666665,2025-03-13T17:09:33.817107,Media Database V3 2023
