media,media_brand,terpene,temperature,viscosity,total_potency,terpene_pct,d9_thc,thca,cbd,cbda,d8_thc,cbg,timestamp,original_filename
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,29.9,10113.33333,0.78261861,0.061516487,0.738093857,0,0,0,0,0.018769545,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,29.9,10113.33333,0.78261861,0.073287651,0.738093857,0,0,0,0,0.018769545,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,39.6,472.3,0.871100785,0.061516487,0.793296254,0.010660757,0,0,0,0.028850269,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,39.6,472.3,0.871100785,0.073287651,0.793296254,0.010660757,0,0,0,0.028850269,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,39.6,472.3,0.78261861,0.061516487,0.738093857,0,0,0,0,0.018769545,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,39.6,472.3,0.78261861,0.073287651,0.738093857,0,0,0,0,0.018769545,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,49.5,175.2666667,0.871100785,0.061516487,0.793296254,0.010660757,0,0,0,0.028850269,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,49.5,175.2666667,0.871100785,0.073287651,0.793296254,0.010660757,0,0,0,0.028850269,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,49.5,175.2666667,0.78261861,0.061516487,0.738093857,0,0,0,0,0.018769545,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,49.5,175.2666667,0.78261861,0.073287651,0.738093857,0,0,0,0,0.018769545,2025-03-14T14:04:47.777542,Media Database V3 2023
